# Time, systemEnergy
0.002858,  2476.461946
0.002863,  2476.449408
0.002867,  2476.436887
0.002871,  2476.424383
0.002875,  2476.411895
0.002879,  2476.399425
0.002883,  2476.386971
0.002888,  2476.374533
0.002892,  2476.362112
0.002896,  2476.349708
0.002900,  2476.337320
0.002904,  2476.324949
0.002908,  2476.312594
0.002913,  2476.300256
0.002917,  2476.287933
0.002921,  2476.275628
0.002925,  2476.263338
0.002929,  2476.251065
0.002933,  2476.238808
0.002938,  2476.226567
0.002942,  2476.214342
0.002946,  2476.202133
0.002950,  2476.189941
0.002954,  2476.177764
0.002958,  2476.165603
0.002963,  2476.153459
0.002967,  2476.141330
0.002971,  2476.129217
0.002975,  2476.117120
0.002979,  2476.105039
0.002983,  2476.092974
0.002988,  2476.080924
0.002992,  2476.068890
0.002996,  2476.056872
0.003000,  2476.044869
0.003004,  2476.032882
0.003008,  2476.020910
0.003013,  2476.008954
0.003017,  2475.997014
0.003021,  2475.985089
0.003025,  2475.973179
0.003029,  2475.961285
0.003033,  2475.949406
0.003038,  2475.937543
0.003042,  2475.925695
0.003046,  2475.913862
0.003050,  2475.902044
0.003054,  2475.890241
0.003058,  2475.878454
0.003063,  2475.866682
0.003067,  2475.854924
0.003071,  2475.843182
0.003075,  2475.831455
0.003079,  2475.819743
0.003083,  2475.808046
0.003088,  2475.796364
0.003092,  2475.784696
0.003096,  2475.773044
0.003100,  2475.761406
0.003104,  2475.749783
0.003108,  2475.738175
0.003113,  2475.726581
0.003117,  2475.715003
0.003121,  2475.703439
0.003125,  2475.691889
0.003129,  2475.680354
0.003133,  2475.668834
0.003138,  2475.657328
0.003142,  2475.645837
0.003146,  2475.634360
0.003150,  2475.622898
0.003154,  2475.611450
0.003158,  2475.600016
0.003163,  2475.588597
0.003167,  2475.577192
0.003171,  2475.565801
0.003175,  2475.554425
0.003179,  2475.543063
0.003183,  2475.531715
0.003188,  2475.520381
0.003192,  2475.509061
0.003196,  2475.497756
0.003200,  2475.486464
0.003204,  2475.475186
0.003208,  2475.463923
0.003213,  2475.452673
0.003217,  2475.441438
0.003221,  2475.430216
0.003225,  2475.419008
0.003229,  2475.407814
0.003233,  2475.396634
0.003238,  2475.385468
0.003242,  2475.374315
0.003246,  2475.363176
0.003250,  2475.352051
0.003254,  2475.340939
0.003258,  2475.329841
0.003263,  2475.318757
0.003267,  2475.307687
0.003271,  2475.296629
0.003275,  2475.285586
0.003279,  2475.274556
0.003283,  2475.263539
0.003288,  2475.252536
0.003292,  2475.241546
0.003296,  2475.230570
0.003300,  2475.219607
0.003304,  2475.208657
0.003308,  2475.197721
0.003313,  2475.186797
0.003317,  2475.175887
0.003321,  2475.164991
0.003325,  2475.154107
0.003329,  2475.143237
0.003333,  2475.132380
0.003338,  2475.121535
0.003342,  2475.110704
0.003346,  2475.099886
0.003350,  2475.089081
0.003354,  2475.078289
0.003358,  2475.067510
0.003363,  2475.056744
0.003367,  2475.045991
0.003371,  2475.035250
0.003375,  2475.024523
0.003379,  2475.013808
0.003383,  2475.003106
0.003388,  2474.992417
0.003392,  2474.981741
0.003396,  2474.971077
0.003400,  2474.960426
0.003404,  2474.949788
0.003408,  2474.939162
0.003413,  2474.928549
0.003417,  2474.917948
0.003421,  2474.907360
0.003425,  2474.896785
0.003429,  2474.886222
0.003433,  2474.875672
0.003438,  2474.865134
0.003442,  2474.854608
0.003446,  2474.844095
0.003450,  2474.833594
0.003454,  2474.823106
0.003458,  2474.812629
0.003463,  2474.802166
0.003467,  2474.791714
0.003471,  2474.781275
0.003475,  2474.770848
0.003479,  2474.760433
0.003483,  2474.750030
0.003488,  2474.739639
0.003492,  2474.729261
0.003496,  2474.718894
0.003500,  2474.708540
0.003504,  2474.698198
0.003508,  2474.687867
0.003513,  2474.677549
0.003517,  2474.667243
0.003521,  2474.656948
0.003525,  2474.646666
0.003529,  2474.636395
0.003533,  2474.626136
0.003538,  2474.615889
0.003542,  2474.605654
0.003546,  2474.595431
0.003550,  2474.585219
0.003554,  2474.575020
0.003558,  2474.564832
0.003563,  2474.554655
0.003567,  2474.544491
0.003571,  2474.534337
0.003575,  2474.524196
0.003579,  2474.514066
0.003583,  2474.503948
0.003588,  2474.493841
0.003592,  2474.483746
0.003596,  2474.473662
0.003600,  2474.463590
0.003604,  2474.453529
0.003608,  2474.443480
0.003613,  2474.433442
0.003617,  2474.423416
0.003621,  2474.413400
0.003625,  2474.403397
0.003629,  2474.393404
0.003633,  2474.383423
0.003638,  2474.373453
0.003642,  2474.363494
0.003646,  2474.353547
0.003650,  2474.343611
0.003654,  2474.333685
0.003658,  2474.323771
0.003663,  2474.313869
0.003667,  2474.303977
0.003671,  2474.294096
0.003675,  2474.284227
0.003679,  2474.274368
0.003683,  2474.264521
0.003688,  2474.254684
0.003692,  2474.244859
0.003696,  2474.235044
0.003700,  2474.225241
0.003704,  2474.215448
0.003708,  2474.205666
0.003713,  2474.195895
0.003717,  2474.186135
0.003721,  2474.176386
0.003725,  2474.166647
0.003729,  2474.156919
0.003733,  2474.147202
0.003738,  2474.137496
0.003742,  2474.127801
0.003746,  2474.118116
0.003750,  2474.108442
0.003754,  2474.098778
0.003758,  2474.089125
0.003763,  2474.079483
0.003767,  2474.069851
0.003771,  2474.060230
0.003775,  2474.050619
0.003779,  2474.041019
0.003783,  2474.031430
0.003788,  2474.021851
0.003792,  2474.012282
0.003796,  2474.002724
0.003800,  2473.993176
0.003804,  2473.983638
0.003808,  2473.974111
0.003813,  2473.964595
0.003817,  2473.955088
0.003821,  2473.945592
0.003825,  2473.936106
0.003829,  2473.926631
0.003833,  2473.917166
0.003838,  2473.907711
0.003842,  2473.898266
0.003846,  2473.888831
0.003850,  2473.879407
0.003854,  2473.869992
0.003858,  2473.860588
0.003863,  2473.851194
0.003867,  2473.841810
0.003871,  2473.832436
0.003875,  2473.823072
0.003879,  2473.813719
0.003883,  2473.804375
0.003888,  2473.795041
0.003892,  2473.785717
0.003896,  2473.776403
0.003900,  2473.767099
0.003904,  2473.757805
0.003908,  2473.748521
0.003913,  2473.739246
0.003917,  2473.729982
0.003921,  2473.720727
0.003925,  2473.711482
0.003929,  2473.702247
0.003933,  2473.693022
0.003938,  2473.683807
0.003942,  2473.674601
0.003946,  2473.665405
0.003950,  2473.656218
0.003954,  2473.647042
0.003958,  2473.637875
0.003963,  2473.628717
0.003967,  2473.619569
0.003971,  2473.610431
0.003975,  2473.601303
0.003979,  2473.592184
0.003983,  2473.583074
0.003988,  2473.573974
0.003992,  2473.564884
0.003996,  2473.555803
0.004000,  2473.546731
0.004004,  2473.537669
0.004008,  2473.528617
0.004013,  2473.519574
0.004017,  2473.510540
0.004021,  2473.501515
0.004025,  2473.492500
0.004029,  2473.483495
0.004033,  2473.474498
0.004038,  2473.465511
0.004042,  2473.456534
0.004046,  2473.447565
0.004050,  2473.438606
0.004054,  2473.429656
0.004058,  2473.420715
0.004063,  2473.411783
0.004067,  2473.402861
0.004071,  2473.393948
0.004075,  2473.385044
0.004079,  2473.376149
0.004083,  2473.367263
0.004088,  2473.358386
0.004092,  2473.349518
0.004096,  2473.340660
0.004100,  2473.331810
0.004104,  2473.322970
0.004108,  2473.314138
0.004113,  2473.305315
0.004117,  2473.296502
0.004121,  2473.287697
0.004125,  2473.278901
0.004129,  2473.270115
0.004133,  2473.261337
0.004138,  2473.252568
0.004142,  2473.243808
0.004146,  2473.235056
0.004150,  2473.226314
0.004154,  2473.217580
