# Time,    neckLengthIntegrate,    neckLengthFormula
0.001938,    0.216189,    0.313895
0.001942,    0.216212,    0.313934
0.001946,    0.216234,    0.313973
0.001950,    0.216256,    0.314012
0.001954,    0.216279,    0.314051
0.001958,    0.216301,    0.314090
0.001963,    0.216323,    0.314129
0.001967,    0.216345,    0.314168
0.001971,    0.216367,    0.314207
0.001975,    0.216390,    0.314246
0.001979,    0.216412,    0.314284
0.001983,    0.216434,    0.314323
0.001988,    0.216456,    0.314362
0.001992,    0.216478,    0.314400
0.001996,    0.216500,    0.314439
0.002000,    0.216522,    0.314477
0.002004,    0.216544,    0.314516
0.002008,    0.216566,    0.314554
0.002013,    0.216587,    0.314593
0.002017,    0.216609,    0.314631
0.002021,    0.216631,    0.314670
0.002025,    0.216653,    0.314708
0.002029,    0.216675,    0.314746
0.002033,    0.216696,    0.314784
0.002038,    0.216718,    0.314823
0.002042,    0.216740,    0.314861
0.002046,    0.216761,    0.314899
0.002050,    0.216783,    0.314937
0.002054,    0.216805,    0.314975
0.002058,    0.216826,    0.315013
0.002063,    0.216848,    0.315051
0.002067,    0.216869,    0.315089
0.002071,    0.216891,    0.315127
0.002075,    0.216912,    0.315165
0.002079,    0.216933,    0.315202
0.002083,    0.216955,    0.315240
0.002088,    0.216976,    0.315278
0.002092,    0.216998,    0.315316
0.002096,    0.217019,    0.315353
0.002100,    0.217040,    0.315391
0.002104,    0.217061,    0.315428
0.002108,    0.217083,    0.315466
0.002113,    0.217104,    0.315503
0.002117,    0.217125,    0.315541
0.002121,    0.217146,    0.315578
0.002125,    0.217167,    0.315616
0.002129,    0.217188,    0.315653
0.002133,    0.217209,    0.315690
0.002138,    0.217230,    0.315728
0.002142,    0.217251,    0.315765
0.002146,    0.217272,    0.315802
0.002150,    0.217293,    0.315839
0.002154,    0.217314,    0.315876
0.002158,    0.217335,    0.315914
0.002163,    0.217356,    0.315951
0.002167,    0.217377,    0.315988
0.002171,    0.217398,    0.316025
0.002175,    0.217419,    0.316062
0.002179,    0.217439,    0.316098
0.002183,    0.217460,    0.316135
0.002188,    0.217481,    0.316172
0.002192,    0.217501,    0.316209
0.002196,    0.217522,    0.316246
0.002200,    0.217543,    0.316282
0.002204,    0.217563,    0.316319
0.002208,    0.217584,    0.316356
0.002213,    0.217605,    0.316392
0.002217,    0.217625,    0.316429
0.002221,    0.217646,    0.316466
0.002225,    0.217666,    0.316502
0.002229,    0.217687,    0.316539
0.002233,    0.217707,    0.316575
0.002238,    0.217727,    0.316611
0.002242,    0.217748,    0.316648
0.002246,    0.217768,    0.316684
0.002250,    0.217788,    0.316720
0.002254,    0.217809,    0.316757
0.002258,    0.217829,    0.316793
0.002263,    0.217849,    0.316829
0.002267,    0.217870,    0.316865
0.002271,    0.217890,    0.316901
0.002275,    0.217910,    0.316938
0.002279,    0.217930,    0.316974
0.002283,    0.217950,    0.317010
0.002288,    0.217970,    0.317046
0.002292,    0.217991,    0.317082
0.002296,    0.218011,    0.317118
0.002300,    0.218031,    0.317153
0.002304,    0.218051,    0.317189
0.002308,    0.218071,    0.317225
0.002313,    0.218091,    0.317261
0.002317,    0.218111,    0.317297
0.002321,    0.218131,    0.317332
0.002325,    0.218150,    0.317368
0.002329,    0.218170,    0.317404
0.002333,    0.218190,    0.317439
0.002338,    0.218210,    0.317475
0.002342,    0.218230,    0.317510
0.002346,    0.218250,    0.317546
0.002350,    0.218269,    0.317581
0.002354,    0.218289,    0.317617
0.002358,    0.218309,    0.317652
0.002363,    0.218329,    0.317688
0.002367,    0.218348,    0.317723
